Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1993","1993","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1994","1994","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1995","1995","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1996","1996","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1997","1997","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1998","1998","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","1999","1999","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2000","2000","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2001","2001","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2002","2002","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2003","2003","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2004","2004","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2005","2005","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2006","2006","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2007","2007","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2008","2008","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2009","2009","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2010","2010","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2011","2011","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2012","2012","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2013","2013","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2014","2014","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2015","2015","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2016","2016","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2017","2017","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2018","2018","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2019","2019","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","367","Asparagus","2020","2020","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1961","1961","Head","65000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1962","1962","Head","81000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1963","1963","Head","84000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1964","1964","Head","141000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1965","1965","Head","147000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1966","1966","Head","161000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1967","1967","Head","167000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1968","1968","Head","172000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1969","1969","Head","178000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1970","1970","Head","185000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1971","1971","Head","190000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1972","1972","Head","187000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1973","1973","Head","186000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1974","1974","Head","191000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1975","1975","Head","196000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1976","1976","Head","204000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1977","1977","Head","210000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1978","1978","Head","230000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1979","1979","Head","236000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1980","1980","Head","238000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1981","1981","Head","203000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1982","1982","Head","206000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1983","1983","Head","208000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1984","1984","Head","209000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1985","1985","Head","206000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1986","1986","Head","204000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1987","1987","Head","200000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1988","1988","Head","286000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1989","1989","Head","303000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1990","1990","Head","302900","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1991","1991","Head","328000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1992","1992","Head","364000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1993","1993","Head","366000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1994","1994","Head","366000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1995","1995","Head","366000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1996","1996","Head","367000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1997","1997","Head","375000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1998","1998","Head","376000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","1999","1999","Head","377000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2000","2000","Head","399000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2001","2001","Head","407000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2002","2002","Head","399547","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2003","2003","Head","399547","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2004","2004","Head","411547","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2005","2005","Head","413310","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2006","2006","Head","415463","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2007","2007","Head","437565","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2008","2008","Head","441660","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2009","2009","Head","445635","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2010","2010","Head","449503","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2011","2011","Head","452787","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2012","2012","Head","455304","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2013","2013","Head","458692","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2014","2014","Head","463279","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2015","2015","Head","468070","I","Imputed value"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2016","2016","Head","472359","I","Imputed value"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2017","2017","Head","476000","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2018","2018","Head","478279","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2019","2019","Head","483062","A","Official figure"
"QCL","Crops and livestock products","686","Senegal","5111","Stocks","1107","Asses","2020","2020","Head","488057","I","Imputed value"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1991","1991","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1992","1992","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1993","1993","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1994","1994","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1995","1995","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1996","1996","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1997","1997","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1998","1998","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","1999","1999","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2000","2000","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2001","2001","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2002","2002","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2003","2003","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2004","2004","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2005","2005","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2006","2006","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2007","2007","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2008","2008","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2009","2009","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2010","2010","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2011","2011","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2012","2012","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2013","2013","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2014","2014","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2015","2015","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2016","2016","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2017","2017","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2018","2018","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2019","2019","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","572","Avocados","2020","2020","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1991","1991","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1992","1992","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1993","1993","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1994","1994","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1995","1995","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1996","1996","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1997","1997","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1998","1998","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","1999","1999","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2000","2000","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2001","2001","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2002","2002","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2003","2003","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2004","2004","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2005","2005","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2006","2006","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2007","2007","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2008","2008","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2009","2009","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2010","2010","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2011","2011","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2012","2012","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2013","2013","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2014","2014","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2015","2015","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2016","2016","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2017","2017","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2018","2018","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2019","2019","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","572","Avocados","2020","2020","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1991","1991","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1992","1992","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1993","1993","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1994","1994","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1995","1995","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1996","1996","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1997","1997","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1998","1998","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","1999","1999","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2000","2000","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2001","2001","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2002","2002","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2003","2003","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2004","2004","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2005","2005","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2006","2006","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2007","2007","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2008","2008","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2009","2009","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2010","2010","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2011","2011","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2012","2012","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2013","2013","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2014","2014","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2015","2015","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2016","2016","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2017","2017","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2018","2018","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2019","2019","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5312","Area harvested","203","Bambara beans, dry","2020","2020","ha","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","203","Bambara beans, dry","1991","1991","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","203","Bambara beans, dry","1992","1992","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","203","Bambara beans, dry","1993","1993","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","203","Bambara beans, dry","1994","1994","tonnes","","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","686","Senegal","5510","Production","203","Bambara beans, dry","1995","1995","tonnes","","M","Missing value (data cannot exist, not applicable)"
